video_id,title,channel_title,publish_time,view_count,like_count,comment_count,dislike_count,like_view_ratio,comment_view_ratio,cluster,pca1,pca2
r26qcfAj1FM,Value Of Data Analytics l Literasi Komputasi l 0602522041 l TA22A,Zahri Rafsanjani,2024-06-22 08:33:36+00:00,2,0,0,0,0.0,0.0,0,-0.8222780170582742,0.08972584858571608
C5gGlGK1cew,🔴 Don&#39;t Join Data Science Course ❌| Don’t waste money in data science courses |Ranjan Sir |DataGyan,Data Gyan,2024-06-22 09:47:01+00:00,123,12,2,0,0.0975609756097561,0.016260162601626018,0,-0.8192087109707762,0.087717623649295
kDpahPUHev0,Predictive modelling or data engineering: what should you choose? #dataanalytics #dataengineering #d,Stephen | Data ,2024-06-22 11:23:53+00:00,31,3,2,0,0.0967741935483871,0.06451612903225806,0,-0.8195737550623129,0.08776877326705645
r3-aMKniaYc,Excel Data Analytics Interview Questions &amp; Assessment Solutions,Souraj_Plays,2024-06-22 11:04:53+00:00,2,0,0,0,0.0,0.0,0,-0.8222780170582742,0.08972584858571608
QE4pJtAGSiM,🔥Data Analytics Full Course 2023 | Data Analytics For Beginners | Data Analytics Course |Simplilearn,Simplilearn,2023-02-18 04:09:15+00:00,29555,615,11,0,0.020808661816951447,0.0003721874471324649,0,-0.7725007732018937,0.09406731037760627
aG20LRyrlE8,[SQL SAT Trujillo -  2024] Microsoft Fabric - Data analytics for the era of AI - MVP Javier Villegas,Cloud Expert Community,2024-06-22 17:00:00+00:00,5,2,0,0,0.4,0.0,0,-0.8222048618650888,0.08970061156978065
pwOk1gHISnk,What is Data Science? Complete RoadMap | Simply Explained| Learnomate Technologies,Learnomate Technologies,2024-06-20 12:30:36+00:00,137,2,1,0,0.014598540145985401,0.0072992700729927005,0,-0.8208529154118857,0.08883621734418909
qmFM8XC6cZ4,"&quot;With current computational power &amp; data availability, machines can now make their own decisions&quot;",Beryl Elites,2024-06-21 15:58:17+00:00,2408,2,0,0,0.0008305647840531562,0.0,0,-0.8211075717956281,0.09161128596897494
Oh89warUx5U,Top 5 Best Data Analytics Institutes in Qatar | 100% Job Placement #datanalytics,Course Dekho,2024-06-21 12:10:00+00:00,2,0,0,0,0.0,0.0,0,-0.8222780170582742,0.08972584858571608
tGhlnA2mtdc,Top 5 Best Data Analytics Institutes in the UAE | 100% Job Placement #datanalytics,Course Dekho,2024-06-21 11:45:02+00:00,5,0,0,0,0.0,0.0,0,-0.8222766471580626,0.08972823394701346
AVqGW1qLWG4,NON-TECH TO DATA SCIENCE in 4 Months! | Success Stories | Coding Ninjas,Coding Ninjas,2024-06-20 14:30:02+00:00,487,26,3,0,0.053388090349075976,0.006160164271047228,0,-0.8172483285170622,0.08684434072340408
VXMFCSXFr0g,Revolutionizing Healthcare: Our Groundbreaking Research on Healing and Chronic Conditions,ShortTalks,2024-06-16 20:01:40+00:00,4316,513,1,0,0.11886005560704356,0.00023169601482854495,0,-0.8006035020623681,0.0851015082484527
h9MxPQRkwRw,Software life cycle dan Value of data analytics,Fahmi Pirdaus,2024-06-22 17:00:18+00:00,0,0,0,0,,,0,-0.8222789303250818,0.08972425834485115
WtENDoHjQkA,Free Data Analytics / Data Science Internship | Batch 59 | 360DigiTMG,360DigiTMG,2024-06-22 09:48:16+00:00,0,0,0,0,,,0,-0.8222789303250818,0.08972425834485115
pFCo6Il3cws,Top 5 Best Data Analytics Institutes in New Zealand | 100% Job Placement #datanalytics,Course Dekho,2024-06-21 07:27:57+00:00,17,0,0,0,0.0,0.0,0,-0.8222711675572164,0.0897377753922029
9M2N7G9Wzc4,Top 5 Best Data Analytics Institutes in Saudi Arabia | 100% Job Placement #datanalytics,Course Dekho,2024-06-21 13:00:08+00:00,2,0,0,0,0.0,0.0,0,-0.8222780170582742,0.08972584858571608
mAt004zDJCc,Final Project Big Data Analytics: Coffee Shop Analysis using Visualization and Apache Spark,Fatkhiya Firda,2024-06-22 16:59:49+00:00,3,0,0,0,0.0,0.0,0,-0.8222775604248703,0.08972664370614858
JllXxaU1AuU,"Kevin Hartman on Data Analytics, AI &amp; Analytics, Google, &amp; More | SYNC-Cast S4 EP3",Commercient,2024-06-17 13:28:37+00:00,103,19,1,0,0.18446601941747573,0.009708737864077669,0,-0.8202582659573392,0.08857439304300699
4OyyRODxuiU,Internship Data Analytics (Python) Session 11 Data Analytics PCS Global PVT LTD,PCS Global,2024-06-22 13:07:42+00:00,1,0,0,0,0.0,0.0,0,-0.8222784736916781,0.08972505346528364
aUmi2TOBZJw,Discover the full potential of your data with these 3 Google Analytics hacks!.,BOOST STAR Experts,2024-06-20 12:43:05+00:00,18,2,0,0,0.1111111111111111,0.0,0,-0.8221989256308386,0.08971094813540259
45dHH7XFPRI,Big Data Analytics [Analisis Pola Pembelian Pelanggan pada Penjualan Online],Hendi Ahmad,2024-06-22 13:42:55+00:00,8,2,0,0,0.25,0.0,0,-0.8222034919648772,0.08970299693107803
h330OuXm5FE,Big Data Analytics: Analisis Data Cuaca Dengan Kombinasi Menggunakan Visualisasi Dan Apache Spark,Nabilla Setyawan,2024-06-22 16:03:25+00:00,4,0,0,0,0.0,0.0,0,-0.8222771037914665,0.08972743882658102
n7Tbe7ZQaSU,Big Data Analytics: Prediksi Alzheimer dengan Random Forest,saka wijaya,2024-06-22 15:51:14+00:00,1,0,0,0,0.0,0.0,0,-0.8222784736916781,0.08972505346528364
7BwRvNSegqc,Final Project Big Data Analytics: Coffee Shop Analysis using Visualization and Apache Spark,Danni Hernando Haryoyudhanto,2024-06-23 04:03:44+00:00,0,0,0,0,,,0,-0.8222789303250818,0.08972425834485115
3Qgj_qVAMWQ,💥Top MCA Colleges In India - Data Science🤩Best MCA Colleges 2024💥#shorts #mca #datascience #viral,MCA Fundas by Sunstone,2024-06-23 05:35:45+00:00,0,1,0,0,inf,,0,-0.822243037678595,0.08971044715623475
37rOlarnr0s,Become a Data Analyst: Comprehensive Course by Learnomate Technologies,Learnomate Technologies,2024-06-18 19:29:39+00:00,251,4,0,0,0.01593625498007968,0.0,0,-0.8220207447547669,0.08986858881893231
_A-EEGyFU6Y,Install Power BI 2024 for free Watch Full video @DataTipsTricks  #powerbi #powerbitips #shorts,AnalystsWorld,2024-06-11 23:56:20+00:00,54,8,1,0,0.14814814814814814,0.018518518518518517,0,-0.8206754601054841,0.08868735521659685
